store_name,#맛집,#가성비,#양푸짐,#디저트맛집,#분위기깡패,#뷰맛집,#야경명소,#사진명소,#힙한,#조용한,#레트로,#주차편함,#대중교통편리,#넓은공간,#청결한,#친절해요,#웨이팅필수,#혼자가기좋은,#직원친절,#무료입장,#데이트코스,#가족과함께,#아이와함께,#반려동물동반,#친구랑,#힐링산책,#빵지순례,#실내데이트,#이색체험,#카공하기좋은
남이섬,0.100498065,0.08188334,0.039911777,0.07737617,0.15169264,0.25323278,0.06816535,0.13402946,0.034582194,0.055361968,0.06988382,0.10022103,0.08642831,0.07804708,0.09715103,0.069278345,0.095657736,0.031583585,0.0575008,0.07487488,0.046907347,0.13727134,0.16954243,0.031961177,0.0571013,0.28354686,0.036464565,0.14989702,0.192604,0.18031664
남해독일마을,0.16029349,0.052802198,0.030482385,0.09064036,0.13297188,0.259962,0.051226176,0.09414292,0.025193142,0.039515883,0.048710454,0.0715027,0.06508995,0.048530065,0.0458608,0.049892914,0.04560793,0.02086735,0.0485755,0.03420715,0.03273269,0.055164002,0.08266722,0.02111139,0.03589461,0.1487728,0.031369265,0.10130121,0.17618275,0.10850001
대관령양떼목장,0.07978598,0.07292454,0.038001742,0.046648704,0.11488737,0.2339795,0.05189489,0.11837938,0.030432208,0.045165204,0.06166658,0.06495314,0.06284173,0.082445845,0.098240174,0.057848725,0.08824508,0.026890317,0.05370102,0.07620621,0.038566697,0.0771497,0.27306944,0.023600005,0.0457275,0.27604836,0.028349454,0.20349094,0.23607428,0.14263964
대왕암공원,0.047040384,0.027499923,0.020260531,0.031958092,0.07791943,0.29471216,0.03543526,0.04549445,0.018399721,0.03188359,0.028809536,0.07213639,0.038836926,0.046366166,0.05289784,0.028952055,0.030327637,0.015128026,0.026125785,0.046190362,0.021175511,0.04230447,0.04922092,0.015881067,0.022203967,0.31076863,0.017473612,0.10042158,0.07063387,0.20378444
대전오월드,0.09685845,0.083874896,0.036714315,0.04635428,0.0729582,0.108150326,0.06788275,0.06561856,0.031004155,0.03822978,0.060335442,0.06572747,0.07764152,0.07199803,0.0997063,0.115272075,0.11973383,0.029008279,0.101087876,0.045252495,0.0382579,0.091321655,0.390599,0.022168892,0.048715215,0.08002358,0.03277362,0.11315273,0.21640491,0.037444774
대한다원보성녹차밭,0.10539474,0.04188726,0.025141919,0.05068595,0.10718126,0.26635945,0.044948224,0.12684819,0.021059966,0.03482124,0.027516775,0.052294284,0.0434044,0.0464621,0.052862797,0.032228142,0.03873722,0.018287169,0.028501678,0.051175416,0.028139858,0.057816494,0.12205519,0.017486734,0.028666355,0.22528473,0.022418078,0.11938092,0.07088108,0.13533407
덕수궁,0.059230816,0.04720059,0.032243963,0.052111764,0.1667185,0.29053545,0.11291898,0.098900996,0.030376108,0.055907883,0.120362654,0.05599117,0.12827119,0.05775705,0.062150832,0.06601389,0.0826126,0.029300394,0.052073266,0.10198947,0.041183285,0.06595744,0.07889957,0.027394263,0.039272234,0.29579428,0.029448,0.13514355,0.20273463,0.21240737
도담삼봉,0.063570976,0.04439952,0.020963475,0.0387733,0.08287491,0.16968337,0.04078066,0.1094864,0.015796667,0.026959848,0.03551489,0.10378649,0.04719127,0.039484464,0.04326507,0.03232905,0.041537847,0.015135075,0.027254231,0.05300308,0.019773545,0.03116062,0.0485053,0.013535262,0.019507753,0.116456255,0.019629218,0.12999113,0.061119504,0.051934637
독립기념관,0.056082297,0.049163938,0.02416567,0.033593994,0.058185317,0.11024047,0.036440276,0.04590376,0.021474121,0.030560218,0.08967058,0.10320484,0.08926216,0.07391166,0.062219303,0.046745833,0.040967565,0.019535737,0.038887415,0.0655194,0.024569204,0.044489495,0.16746445,0.014527578,0.021673983,0.13066456,0.021739753,0.103059545,0.19730037,0.06965823
동궁과 월지,0.08924246,0.06531664,0.039815724,0.050950546,0.25095728,0.22884284,0.3956665,0.19850296,0.03365084,0.056746315,0.061458156,0.14468728,0.10127273,0.0713932,0.08656748,0.058897045,0.12770861,0.03573118,0.040598646,0.0932438,0.052434966,0.09309272,0.07630538,0.035756346,0.048879597,0.19306749,0.034680612,0.13580401,0.10705679,0.14152543
